Id,IngestType,IngestionSequence,DataProvider,OriginalRecord,isShownAt,Object
8bca6ea2341791bb4b30c471115e76e8,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/8bca6ea2341791bb4b30c471115e76e8.json,https://www.loc.gov/item/78695093/,http://cdn.loc.gov/service/gmd/gmd376/g3764/g3764n/pm003122.gif,"Perspective map not drawn to scale. LC Panoramic maps (2nd ed.), 312.2 Available also through the Library of Congress Web site as a raster image. Indexed for points of interest. AACR2"
fe908f9148104958955ff721ccca6797,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/fe908f9148104958955ff721ccca6797.json,https://www.loc.gov/item/99447426/,http://cdn.loc.gov/service/gmd/gmd398/g3984/g3984v/cw0283200.gif,"Scale ca. 1:72,500. LC Civil War Maps (2nd ed.), 283.2 From Tomes, Robert. The war with the South, New York, Virtue & Yorston, 1862-1867. v. 2, between p. 566 and 567. Signed (facsim.): Charles, Sholl, Topl. Engineer. ""Entered according to act of Congress AD. 1863 by Virtue, Yorston & Co."" Caption in lower margin: A topographical map of Vicksburg & its vicinity showing all batteries that were in existence at the time of its fall, with the names of the owners of plantations, &c. Description derived from published bibliography. Available also through the Library of Congress web site as raster image."
e52ec11d982bd52ad1e87b51d6041992,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/e52ec11d982bd52ad1e87b51d6041992.json,https://www.loc.gov/item/2014588392/,http://cdn.loc.gov/service/gmd/gmd388/g3883/g3883f/cw105000r.gif,"Shows paths and roads that no longer exist and names of some landowners. Title devised by cataloger. Pen-and-ink on blue tinged laid paper, sectioned and mounted on cloth. Donation; Richard W. Stephenson Memorial Acquisition. Funded by Philip Lee Phillips Society members: Ralph and Theresa Ehrenberg, Robert Grogg, and Dennis M. Gurtz; Received: September 2014. Condition imperfect: Foxed, torn at fold lines, missing small internal sections at fold lines and at sheet edges, formerly taped. Available also through the Library of Congress Web site as a raster image. Illegible signature on verso."
a0532987340f34adfb78686f00bcdda4,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/a0532987340f34adfb78686f00bcdda4.json,https://www.loc.gov/item/74693149/,http://cdn.loc.gov/service/gmd/gmd376/g3764/g3764n/pm003123.gif,Boston [1897]
83292ea6a4bafa95f5fae2d2b94a93ad,item,999999,,http://ldp.staging.dp.la/ldp/original_record/83292ea6a4bafa95f5fae2d2b94a93ad.json,https://www.loc.gov/item/2006635259/,http://cdn.loc.gov/service/gmd/gmd4/g4411/g4411p/cws00188.gif,"Relief shown by shading and spot heights. Prepared from a map originally published in 1873 in Paris. Prime meridian: Mexico City. LC Civil War maps (2nd ed.), S188 Available also through the Library of Congress Web site as a raster image. Includes inset ""Map showing the political divisions""."
511dfbaf6dca937eae1084fb2902b300,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/511dfbaf6dca937eae1084fb2902b300.json,https://www.loc.gov/item/73691553/,http://cdn.loc.gov/service/gmd/gmd378/g3780/g3780/ar102200.gif,"Scale ca. 1:275,000. Relief shown pictorially. Shows counties, towns, rivers, and post roads. LC Maps of North America, 1750-1789, 1022 Available also through the Library of Congress Web site as a raster image. Vault AACR2: 651/1; 651/2; 700/1"
4acadd13e616d7d3a5bcacf2ec58427d,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/4acadd13e616d7d3a5bcacf2ec58427d.json,https://www.loc.gov/item/74691147/,http://cdn.loc.gov/service/gmd/gmd4/g4944/g4944c/ar187700.gif,"[Paris, 1764]"
5d0e4d20ece22391bd9e3fb9ceb13ecc,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/5d0e4d20ece22391bd9e3fb9ceb13ecc.json,https://www.loc.gov/item/99448828/,http://cdn.loc.gov/service/gmd/gmd391/g3912/g3912c/cw0381000.gif,"Scale 1:30,000. Another issue. Shows roads, railroads, houses, vegetation, a street plan of Charleston, drainage, soundings, and shoals. LC Civil War Maps (2nd ed.), 381 Overprinted to show 1/4-mile concentric circles centered on St. Michaels, Charleston; positions occupied by the Union Army and Navy; ""Rebel batteries in possession of National forces [and] batteries still held by the Rebels [on] Sept. 7th 1863."" Union positions are based ""on the authority of Maj. T. B. Brooks . . ."" Available also through the Library of Congress web site as raster image. Description derived from published bibliography."
f6bf23b31f42ff9b619d3b054bbe58bc,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",http://ldp.staging.dp.la/ldp/original_record/f6bf23b31f42ff9b619d3b054bbe58bc.json,https://www.loc.gov/item/77690498/,http://cdn.loc.gov/service/gmd/gmd370/g3700/g3700/ar072400.gif,"Scale ca. 1:10,000,000. Relief shown pictorially. Shows longitude west from London and Ferro. From the London magazine. v. 34, June 1765, p. 276-277. LC Maps of North America, 1750-1789, 724 Available also through the Library of Congress Web site as a raster image. Vault AACR2: 100; 651/1; 650/2; 651/3"
b1d2b956176b7310f9b5225da2f16733,item,999999,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",http://ldp.staging.dp.la/ldp/original_record/b1d2b956176b7310f9b5225da2f16733.json,https://www.loc.gov/item/99447447/,http://cdn.loc.gov/service/gmd/gmd387/g3871/g3871a/cw0304500.gif,"Scale not given. LC Civil War Maps (2nd ed.), 304.5 At top of map: Panorama of the seat of war. View of the coast from Currituck Sound, North Carolina, to Savannah, Georgia, indicating towns, roads, railroads, and rivers. The shelling of Fort Hatteras is shown. Includes a table of distances from Cape Hatteras. Description derived from published bibliography. Available also through the Library of Congress web site as raster image."
